00,000,00,000,0000,1,宋楚瑜,98,1,0310000,62,  ,  ,N, , 
00,000,00,000,0000,1,張昭雄,98,1,0330000,60,  ,  ,N, ,Y
00,000,00,000,0000,2,連戰,1,1,0250000,68,  ,  ,N, , 
00,000,00,000,0000,2,蕭萬長,1,1,0310000,62,  ,  ,N, ,Y
00,000,00,000,0000,3,李敖,3,1,0260000,63,  ,  ,N, , 
00,000,00,000,0000,3,馮滬祥,3,1,0370000,64,  ,  ,N, ,Y
00,000,00,000,0000,4,許信良,98,1,0300000,65,  ,  ,N, , 
00,000,00,000,0000,4,朱惠良,98,2,0390000,66,  ,  ,N, ,Y
00,000,00,000,0000,5,陳水扁,2,1,0400000,53,  ,  ,N,*, 
00,000,00,000,0000,5,呂秀蓮,2,2,0330000,60,  ,  ,N,*,Y
