姓名,選區,政黨,現任立委,曾任立委,生日,年齡,照片,wiki,FB 粉絲專頁,學歷,學歷連結,經歷,經歷連結,政見,政見連結
廖蓓瑩,新竹市選舉區,國會政黨聯盟,N,N,,,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/67895287_2236808929963307_8228108306258853888_o.jpg?_nc_cat=102&_nc_oc=AQngfJfb4cWbf2C_ZGlb75Jg1KWGHMaTfiBl2SiPLZQSvhXAdtu5JeLsxlPeJ2QFJHy5WuwJWKZ4ZCtakdmY7YhD&_nc_ht=scontent.ftpe7-3.fna&oh=c7f0eea83cae4e59539cf64c806943ef&oe=5E89CD40,https://zh.m.wikipedia.org/wiki/%E5%BB%96%E8%93%93%E7%91%A9,https://www.facebook.com/liaobeiying.cpa/,"國立中山大學高階公共政策碩士班
國立台灣大學外國語文學系學士
北一女中",,"國會政黨聯盟青年部副主任
財團法人世界領袖教育基金會董事

國會政黨聯盟副發言人
中華民國解癮戒毒協會顧問
新竹縣政府新聞科機要任用
學學文創志業學務總監
VOGUE‧ELLE‧美麗佳人國際中文版主編
壹週刊副主任",,"「新竹+倍贏」
國際觀 改變政治文化
時尚人 引領城市美學
會做事 公共事務能力強
服務青年 發展青創與文創",
曾楷耀,新竹市選舉區,台灣維新,N,N,,,https://scontent.ftpe7-4.fna.fbcdn.net/v/t1.0-9/70916531_2438440153102011_4234490797807894528_o.jpg?_nc_cat=101&_nc_oc=AQkkLD4kZi0u0PxzWuxH9SWuxdiIvK789pOfbJCChJEYylcf-Nvw-ZEbE2OggvZWKxqhUKpvjYjzsl9C29pG1kP1&_nc_ht=scontent.ftpe7-4.fna&oh=97210ed34de1ff238252bf4ded7537ec&oe=5E547B75,,https://www.facebook.com/%E6%9B%BE%E6%A5%B7%E8%80%80%E6%96%B0%E7%AB%B9%E5%B8%82%E7%AB%8B%E5%A7%94%E5%8F%83%E9%81%B8%E4%BA%BA-2372978276314866/,,,,,,
陳超明,苗栗縣第一選舉區,中國國民黨,Y,Y,1951-12-17,68,http://www.ly.gov.tw/Images/Legislators/90067.jpg,https://zh.wikipedia.org/wiki/陳超明,https://www.facebook.com/amingo1217/,新竹縣竹東高中 ;國立政治大學公共行政學系;,立法院OpenData,"苗栗縣第12、13屆縣議員 ;第10屆省議員 ;第4、8屆立法委員 ;總統府顧問 ;行政院顧問;
  ;",立法院OpenData,,
羅貴星,苗栗縣第一選舉區,民主進步黨,N,N,,,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/36684054_2125074761039405_8845341707089215488_o.jpg?_nc_cat=103&_nc_oc=AQlKfux0jEPOY3tGWdoWa-75z1g3wXXjj88kPTafhkUe2WuD1vKeOICaINrTqlJ_BPklYpg_VCE7ekJTCNH64FAq&_nc_ht=scontent.ftpe7-3.fna&oh=8df06378ff15bf82f2829b6a67071192&oe=5E45947D,,https://www.facebook.com/lokuehsing/,,,,,,
朱哲成,苗栗縣第一選舉區,台灣民眾黨,N,N,,,https://scontent.ftpe7-4.fna.fbcdn.net/v/t1.0-9/71342345_372418446967457_1733969183198150656_o.jpg?_nc_cat=101&_nc_oc=AQlX15iDac6siFFqRpS-l3b_aRjhAXY2HT6IcH4cmQWCfJ7D96JlbXO9cqn029jqvtmfxGfxuQFNAFK2QIugpRdc&_nc_ht=scontent.ftpe7-4.fna&oh=bfbbc66c3b22042af9899e061bf24082&oe=5E3E6CA7,,https://www.facebook.com/SocialistChu/,,,,,,
朱英濠,苗栗縣第一選舉區,無黨籍,N,N,,,,,,,,,,,
徐志榮,苗栗縣第二選舉區,中國國民黨,Y,Y,1955-07-31,64,http://www.ly.gov.tw/Images/Legislators/90045.jpg,https://zh.wikipedia.org/wiki/徐志榮,https://www.facebook.com/hsu0731/,省立苗栗高中畢業 ;日本國立石川高等職業學校畢業;,立法院OpenData,"第8屆立法委員 ;行政院政務顧問 ;苗栗縣公館鄉第13、14屆鄉長 ;苗栗縣體育會理事長 ;苗栗縣徐氏宗親會副理事長 ;苗栗縣義消總隊總隊長 ;苗栗縣後備指揮部顧問;
  ;",立法院OpenData,,
徐定禎,苗栗縣第二選舉區,民主進步黨,N,N,1961-01-03,59,https://scontent.ftpe7-4.fna.fbcdn.net/v/t1.0-9/36260437_2058669844406795_5855696340499038208_n.jpg?_nc_cat=107&_nc_oc=AQmjD8KRoxa2hyo_TDiLKwAo452otr4smo4awg7Oyytw93s40xQdkTO7ycUc4o14x1Z7qomSQwMecVPcxI49AEX-&_nc_ht=scontent.ftpe7-4.fna&oh=a5cddd4e8832a483bcf9f78b01f44577&oe=5E5BE68A,https://zh.wikipedia.org/wiki/徐定禎,https://www.facebook.com/tingchen0104/,,,,,,
温俊勇,苗栗縣第二選舉區,無黨籍,N,N,,,,,,,,,,,
張國樑,苗栗縣第二選舉區,無黨籍,N,N,,,,,,,,,,,
柯呈枋,彰化縣第一選舉區,中國國民黨,Y,Y,1972-11-30,47,http://www.ly.gov.tw/Images/Legislators/90126.jpg,https://zh.wikipedia.org/wiki/柯呈枋,https://www.facebook.com/chckcf/,國立中正大學勞工研究所碩士;,立法院OpenData,"臺中市政府參事;勞動部勞動力發展署雲嘉南分署長;彰化縣副縣長;彰化縣政府機要秘書;彰化縣政府勞工處長;彰化縣政府計畫處長;彰化縣政府秘書;法務部科長;法務部專員;勞委會科員;
  ;",立法院OpenData,,
