姓名,選區,政黨,現任立委,曾任立委,生日,年齡,照片,wiki,FB 粉絲專頁,學歷,學歷連結,經歷,經歷連結,政見,政見連結
陳癸佑,南投縣第二選舉區,民主進步黨,N,N,1968-09-15,51,https://scontent.ftpe7-1.fna.fbcdn.net/v/t1.0-9/70271961_118078579579804_2736452715163942912_n.jpg?_nc_cat=106&_nc_oc=AQm7TkH25-uCyYi3VNtIqj7TWLy0-fWGs9Pl9UXsa_AkxfpajbibQYb9cjAv642rPh8IfgzOxp0uoxF1-f-ja3tO&_nc_ht=scontent.ftpe7-1.fna&oh=3c2cd0fa615844ae3731c1e5601c2108&oe=5E56C6B5,https://zh.wikipedia.org/wiki/陳癸佑,https://www.facebook.com/%E9%99%B3%E7%99%B8%E4%BD%91%E7%AB%B6%E9%81%B8%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E6%9C%8D%E5%8B%99%E5%B9%B3%E5%8F%B0-100353361352326/,,,,,,
張嘉郡,雲林縣第一選舉區,中國國民黨,N,Y,1981-01-10,39,http://www.ly.gov.tw/Images/Legislators/80053.jpg,https://zh.wikipedia.org/wiki/張嘉郡,https://www.facebook.com/Sweet.Yunlin/,英國南漢普頓大學國際關係碩士;英國倫敦大學企業管理系學士;英國凱特倫中學畢業;雲林縣正心中學;雲林縣虎尾國小畢業;,立法院OpenData,"吳鳳技術學院講師;雲林農田水利會機要秘書;雲林縣婦聯會分會總幹事;雲林縣婦工會副總會長;雲萱婦幼文教基金會董事;青埔教育基金會執行長;台北市雲林同鄉會顧問;6嘉7青年發展協會理事長;第7屆立法委員;中華民國雲林同鄉總會榮譽副總會長;
  ;",立法院OpenData,,
蘇治芬,雲林縣第一選舉區,民主進步黨,Y,Y,1953-07-10,66,http://www.ly.gov.tw/Images/Legislators/90110.jpg,https://zh.wikipedia.org/wiki/蘇治芬,https://www.facebook.com/suchihfen/,雲林縣北港鎮南陽國小;雲林縣北港鎮北港初中;臺北市立士林商業職業學校畢業;,立法院OpenData,"國民大會代表(1996-2000);立法委員(2002-2005);雲林縣長(2005-2014);立法委員(2016-);
  ;",立法院OpenData,,
陳俊龍,雲林縣第一選舉區,無黨籍,N,N,,,,,,,,,,,
謝淑亞,雲林縣第二選舉區,中國國民黨,N,N,1960-06-28,59,http://commons.wikimedia.org/wiki/Special:FilePath/%E8%AC%9D%E6%B7%91%E4%BA%9E.jpg,https://zh.wikipedia.org/wiki/謝淑亞,https://www.facebook.com/ladyshuya/,,,,,,
劉建國,雲林縣第二選舉區,民主進步黨,Y,Y,1969-03-09,51,http://www.ly.gov.tw/Images/Legislators/90087.jpg,https://zh.wikipedia.org/wiki/劉建國,https://www.facebook.com/liucnko.fans/,稻江科技暨管理學院老人福祉與社會工作學系;,立法院OpenData,"立法院第7、8屆立法委員;立法院社會福利及衛生環境委員會召委;立法院厚生會會長;民進黨議會黨團召集人暨第15、16屆議員;第6屆斗六市民代表;雲林縣體育會副理事長;雲林縣棒球委員會主委;雲林縣社會關懷協會創會理事長;
  ;",立法院OpenData,,
張永津,雲林縣第二選舉區,喜樂島聯盟,N,N,,,https://scontent.ftpe7-1.fna.fbcdn.net/v/t1.0-9/71886473_120747402661813_3320792928569262080_o.jpg?_nc_cat=100&_nc_oc=AQmk_tFtu1mxVY2CbUXzs5FXHsqhYDGbvqTd3d6UJRtxmhs4acQpLH9fzHHVxx9Fzj7A0KwYih4Ntna0XtPWOAr9&_nc_ht=scontent.ftpe7-1.fna&oh=f2ac662cf43dad2de9aafb5065038f28&oe=5E5AE21B,,https://www.facebook.com/%E9%9B%B2%E6%9E%97%E8%BC%AA%E6%A4%85%E7%AB%8B%E5%A7%94%E5%BC%B5%E6%B0%B8%E6%B4%A5-120741162662437/,,,,,,
彭新銘,雲林縣第二選舉區,無黨籍,N,N,,,,,,,,,,,
王啟澧,嘉義縣第一選舉區,中國國民黨,N,N,,,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/69109716_465640830956348_1345678172267479040_n.jpg?_nc_cat=102&_nc_oc=AQkTae9PSAptEuDpwwzSX3Z7nvPmklCcdvqQES5mSkr6AM5tvlxsxQsM2STn1Fk6BRnaL6m2o0_QXprLsrlCLh2u&_nc_ht=scontent.ftpe7-3.fna&oh=4cdc83d70d0331d7ede3f6c887c47a42&oe=5E4ED08A,https://zh.wikipedia.org/wiki/王啟澧,https://www.facebook.com/OurChiayi/,,,,,,
蔡易餘,嘉義縣第一選舉區,民主進步黨,Y,Y,1981-03-14,39,http://www.ly.gov.tw/Images/Legislators/90090.jpg,https://zh.wikipedia.org/wiki/蔡易餘,https://www.facebook.com/chiayionefish/,嘉義市崇文國小;水上鄉忠和國中;嘉義高中;臺灣大學財經法律系;,立法院OpenData,"萬國法律事務所律師;民主進步黨中央執行委員;2014年張花冠縣長競選總幹事;台灣陪審團協會理事;凱達格蘭基金會理事;小英教育基金會顧問;民主進步黨嘉義縣黨部主委;
  ;",立法院OpenData,,
許能通,嘉義縣第二選舉區,中國國民黨,N,N,,,https://scontent.ftpe7-4.fna.fbcdn.net/v/t1.0-9/72422984_1500169350125447_1102073627307671552_o.jpg?_nc_cat=107&_nc_oc=AQnvP073b8JpSvbDvpJLAjwcSbHTLSk82cx5tztohQgLnEiolYm2u6y0PSAUBdAFJC2LXpyGCHPOI0G7RYYHzBMV&_nc_ht=scontent.ftpe7-4.fna&oh=b1c40262046a097a52558bbe9987b96f&oe=5E872DAC,https://zh.wikipedia.org/wiki/許能通,https://www.facebook.com/%E8%A8%B1%E8%83%BD%E9%80%9A-%E5%98%89%E7%BE%A9%E7%B8%A3%E5%B1%B1%E5%8D%80%E7%AB%8B%E5%A7%94%E5%8F%83%E9%81%B8%E4%BA%BA-1184412565034462/,,,,,,
陳明文,嘉義縣第二選舉區,民主進步黨,Y,Y,1955-05-13,65,http://www.ly.gov.tw/Images/Legislators/90062.jpg,https://zh.wikipedia.org/wiki/陳明文,https://www.facebook.com/chenminwen/,私立東海大學哲學系畢業;,立法院OpenData,"嘉義縣議會第9屆議員、第10屆議長;臺灣省議會第8、9、10屆議員;第4屆立法委員;嘉義縣第14、15屆縣長;第7、8屆立法委員;
  ;",立法院OpenData,,
王金山,嘉義縣第二選舉區,台灣維新,N,N,,,,,,,,,,,
林國慶,嘉義縣第二選舉區,無黨籍,N,Y,1965-11-02,54,http://www.ly.gov.tw/Images/Legislators/ly1000_6_00071_10f.jpg,https://zh.wikipedia.org/wiki/林國慶,https://www.facebook.com/%E5%98%89%E7%BE%A9%E5%9B%9D%E4%BB%94-%E6%9E%97%E5%9C%8B%E6%85%B6-153414734741543/,私立育德工商畢業;中正大學學士班結業;國立中正大學政治學學士班結業;凱達格蘭學校第二期民間領袖與地方發展班結業;,立法院OpenData,"嘉義縣第十四、十五屆縣議員;2000年陳水扁嘉義縣競選總部副總幹事長;2004年陳水扁嘉義縣競選總部執行總幹事;嘉義縣議會民進黨團總召集人;嘉義縣議會財政小組召集人;
  ;",立法院OpenData,,
簡明廉,嘉義縣第二選舉區,無黨籍,N,N,,,,,,,,,,,
傅大偉,嘉義市選舉區,中國國民黨,N,N,,,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/74694877_10162696576375051_2792515000588042240_n.jpg?_nc_cat=102&_nc_oc=AQkFglmuZljbK5I_-mKsDCsMHLVvSBSN1BmR6r3me3Vbm3_oGh8ETZtMROeqT-V455ADQk5BF3xkmuNB8ylFwhps&_nc_ht=scontent.ftpe7-3.fna&oh=895bb6afb8f8ee7b855e431ea9cf0a00&oe=5E4FFF19,https://zh.wikipedia.org/wiki/傅大偉,https://www.facebook.com/fudawei0/,,,,,,
王美惠,嘉義市選舉區,民主進步黨,N,N,,,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/72210544_2571347416287847_6023566284019466240_o.jpg?_nc_cat=102&_nc_oc=AQmVcwHNhlz3WjZUTg9eADLhEOhXdiETNupDLooPd5idAWyNd5v0BwUJVxgb5_GSAuJ-KfKv7Ud7QMYUJwajCdQJ&_nc_ht=scontent.ftpe7-3.fna&oh=a3f7468c76c080373ad5648cbdc1f7e5&oe=5E58A386,,https://www.facebook.com/ahueimoto/,,,,,,
蔡永泉,嘉義市選舉區,台灣團結聯盟,N,N,,,https://scontent.ftpe7-1.fna.fbcdn.net/v/t1.0-9/72619381_2613629435362601_9125376877618266112_n.png?_nc_cat=110&_nc_oc=AQnfiHA6DW9zpNA-5jNoG01zg-iz_d8s1a3UbM7fR0jh1dJQn-38SnTmzes4YRmDfpDAItdSiWYKeqZq1aDMYNu3&_nc_ht=scontent.ftpe7-1.fna&oh=edfd7ba168b31fc23963825d7c6a69ef&oe=5E552853,https://zh.wikipedia.org/wiki/台灣團結聯盟,https://www.facebook.com/tw0921506663/,,,,,,
郭瑞豐,嘉義市選舉區,國會政黨聯盟,N,N,,,,,,,,,,,
凌子楚,嘉義市選舉區,無黨籍,N,N,1965-09-19,54,https://scontent.ftpe7-1.fna.fbcdn.net/v/t1.0-9/53399783_2256015367986543_3610985155587473408_n.jpg?_nc_cat=100&_nc_oc=AQkYxZfAW4waXEfetoZYbwAPZCaaonNLcSD9ZT8X5lDTp0lTdCPI9P2ifewHqj2RGH3V5478sxBnT-_Sk9UZKmeP&_nc_ht=scontent.ftpe7-1.fna&oh=37cea1fa9b24912ecde0a8983c6b1e63&oe=5E883DB1,https://zh.wikipedia.org/wiki/凌子楚,https://www.facebook.com/grantling0919/,,,,,,
黃宏成台灣阿成世界偉人財神總統,嘉義市選舉區,無黨籍,N,N,1968-03-20,52,,https://zh.wikipedia.org/wiki/黃宏成台灣阿成世界偉人財神總統,,,,,,,
葉壽山,屏東縣第一選舉區,中國國民黨,N,N,1968-01-14,52,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/74886493_2532699026773498_2136640083938246656_n.jpg?_nc_cat=108&_nc_oc=AQkrt4_Q90uH5CVhPicQvAFJBMD1_9DPSqMviOcZ3AXSz7gKuWaGwosFgQR0oaVVrdel_PVNJ9TPFQ3C2uQF-_uJ&_nc_ht=scontent.ftpe7-3.fna&oh=0fb8e108d937889dad15d6326aa9a37f&oe=5E4C0E38,https://zh.wikipedia.org/wiki/葉壽山,https://www.facebook.com/yehShouShan/,,,,,,
鍾佳濱,屏東縣第一選舉區,民主進步黨,Y,Y,1965-02-23,55,http://www.ly.gov.tw/Images/Legislators/90104.jpg,https://zh.wikipedia.org/wiki/鍾佳濱,https://www.facebook.com/cafe1965/,國立屏東科技大學研究所;國立臺灣大學歷史系;屏東高中;明正國中;仁愛國小;,立法院OpenData,"屏東縣副縣長;第3屆國民大會代表;行政院文化建設委員會參事;紙風車劇團顧問;萬年溪保育協會;屏東縣台大校友會理事長;廢除刑法100行動聯盟;野百合世代學運領袖;核四公投千里苦行執行秘書;
  ;",立法院OpenData,,
潘偉龍,屏東縣第一選舉區,一邊一國行動黨,N,N,,,,,https://www.facebook.com/PanLegislator/,,,,,,
蔣月惠,屏東縣第一選舉區,無黨籍,N,N,1959-04-12,61,,https://zh.wikipedia.org/wiki/蔣月惠,https://www.facebook.com/%E8%94%A3%E6%9C%88%E6%83%A0%E7%B8%A3%E8%AD%B0%E5%93%A1%E6%9C%8D%E5%8B%99%E5%B0%88%E5%8D%80-1415047975474831/,,,,,,
洪恆珠,屏東縣第一選舉區,無黨籍,N,N,,,,,https://www.facebook.com/HungHCconfidante/,,,,,,
周佳琪,屏東縣第二選舉區,中國國民黨,N,N,,,,https://zh.wikipedia.org/wiki/周佳琪,https://www.facebook.com/go2sister/,,,,,,
莊瑞雄,屏東縣第二選舉區,民主進步黨,Y,Y,1963-04-20,57,http://www.ly.gov.tw/Images/Legislators/90055.jpg,https://zh.wikipedia.org/wiki/莊瑞雄,https://www.facebook.com/dpp.ptbear/,國立臺灣大學生物產業傳播暨發展學系博士候選人;國立臺灣大學農業經濟學系碩士 ;國立臺北大學企業管理學系碩士 ;國立臺灣大學法律學系學士;,立法院OpenData,"第8屆立法委員;公民監督國會聯盟評鑑最優秀立法委員;律師;民進黨發言人;民進黨中央執行委員;第13、14屆民進黨臺北市黨部主委;第10、11屆臺北市議員;全民監督黨產聯盟執行長;中選會巡迴監察員;綠色和平電台主持人;台灣國家山岳協會理事長;
  ;",立法院OpenData,,
鄭文龍,屏東縣第二選舉區,國會政黨聯盟,N,N,,,,,https://www.facebook.com/%E5%B1%8F%E5%8D%97%E7%AC%AC%E4%BA%8C%E9%81%B8%E5%8D%80%E7%AB%8B%E5%A7%94%E5%8F%83%E9%81%B8%E4%BA%BA%E9%84%AD%E6%96%87%E9%BE%8D-111794480252594/,,,,,,
潘政治,屏東縣第二選舉區,無黨籍,N,N,,,,,https://www.facebook.com/%E6%94%BF%E6%B2%BB%E8%B6%85%E8%B6%8A%E6%94%BF%E6%B2%BB-%E6%BD%98%E6%94%BF%E6%B2%BB-376945843055276/,,,,,,
張志明,臺東縣選舉區,中國國民黨,N,N,,,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/69681098_650610728772499_6484589138723995648_o.jpg?_nc_cat=108&_nc_oc=AQnrP-jxLvzR2cZinNSlRUKc6Va438LjfMFfiqIzhP0RNtWKPEk5rwQhaOEHEZOklO_cUU0mA-veKNEAl2yodiJd&_nc_ht=scontent.ftpe7-3.fna&oh=08f7f0981e7a7bc1e560a45703bd91f1&oe=5E510415,https://zh.wikipedia.org/wiki/張志明_,https://www.facebook.com/CMCHANG.LOVETAITUNG/,,,,,,
劉櫂豪,臺東縣選舉區,民主進步黨,Y,Y,1967-02-02,53,http://www.ly.gov.tw/Images/Legislators/90088.jpg,https://zh.wikipedia.org/wiki/劉櫂豪,https://www.facebook.com/ChaoHaoLiu/,臺東仁愛國小;臺東新生國中;臺東高中;國立政治大學法律學系;,立法院OpenData,"法官;副縣長;律師;民進黨中央黨部組織推廣部主任;立法委員;
  ;",立法院OpenData,,
陳允萍,臺東縣選舉區,台灣民眾黨,N,N,,,https://scontent.ftpe7-1.fna.fbcdn.net/v/t1.0-9/73404050_703654276787281_8280527347019415552_o.jpg?_nc_cat=106&_nc_oc=AQluGsPL_in_Mj5WiQHubmdY82JY8hKlWgY_kke-M3Iwp7ohrwgV79SRVDH1gYPFj7W-1V2G6bwpiPG7ZvnXb0zv&_nc_ht=scontent.ftpe7-1.fna&oh=3be8527f782ddfe854f2511a5601ee46&oe=5E4E3595,,https://www.facebook.com/taitungpeterchen/,,,,,,
黃啟嘉,花蓮縣選舉區,中國國民黨,N,N,,,https://scontent.ftpe7-2.fna.fbcdn.net/v/t1.0-9/70085882_524225708346191_9064863464182251520_o.jpg?_nc_cat=111&_nc_oc=AQko4yS_cNXf1H411bhaejpIlbBh-cYxqb9LCDRLmWyZXXSZJSp5cwg4-qOMFvN7chBROWG9GOQl-gxAwrxusOFy&_nc_ht=scontent.ftpe7-2.fna&oh=a66ecae111dd48088c5674830f8e1bd7&oe=5E5B45D2,https://zh.wikipedia.org/wiki/黃啟嘉,https://www.facebook.com/chichiahualien/,,,,,,
蕭美琴,花蓮縣選舉區,民主進步黨,Y,Y,1971-08-07,48,http://www.ly.gov.tw/Images/Legislators/90100.jpg,https://zh.wikipedia.org/wiki/蕭美琴,https://www.facebook.com/Bikhim/,美國哥倫比亞大學政治學碩士;,立法院OpenData,"第5、6、8屆立法委員;民進黨國際事務部主任;總統府顧問;亞洲民主自由聯盟(CALD)秘書長;行政院大陸委員會諮詢委員;新境界文教基金會副執行長;臺灣民主基金會董事;國際自由政黨聯盟(LI)副主席;海基會董事;美琴之友會名譽理事長;
  ;",立法院OpenData,,
傅崐萁,花蓮縣選舉區,無黨籍,N,Y,1962-05-08,58,http://www.ly.gov.tw/Images/Legislators/61146.jpg,https://zh.wikipedia.org/wiki/傅崐萁,https://www.facebook.com/Fu.KunChi/,省立花蓮中學;淡江大學交通管理學系;淡江大學大陸研究所碩士;廣州暨南大學法學博士班;,立法院OpenData,"第5、6、7屆立法委員;立法院全院聯席會主席;國防委員會召集人（二連任）;預算委員會召集人;立法院親民黨團總召集人（二連任）;立法院世界台商之友會副會長;
  ;",立法院OpenData,,
歐中慨,澎湖縣選舉區,中國國民黨,N,N,,,https://scontent.ftpe7-1.fna.fbcdn.net/v/t1.0-9/71280227_2508388332532368_9050532932136992768_o.jpg?_nc_cat=106&_nc_oc=AQnZK9m7HAMuOsMSORVisg2pA_e0I9_W727-JFqv1fDdHmjE83rhD3g_8hDUNxZbWv9gZBQpxk_uoPDhdzSQZGuR&_nc_ht=scontent.ftpe7-1.fna&oh=778ca685439dba9a36e9e914ffea8e69&oe=5E5A8B20,https://zh.wikipedia.org/wiki/歐中慨,https://www.facebook.com/ou.chung.kai/,,,,,,
楊曜,澎湖縣選舉區,民主進步黨,Y,Y,1966-12-06,53,http://www.ly.gov.tw/Images/Legislators/90079.jpg,https://zh.wikipedia.org/wiki/楊曜,https://www.facebook.com/%E6%A5%8A%E6%9B%9CYangyao-220796314615357/,東海大學法律系;,立法院OpenData,"民進黨澎湖縣黨部主任委員;澎湖縣議員;立法委員;
  ;",立法院OpenData,,
呂應宏,澎湖縣選舉區,喜樂島聯盟,N,N,,,,,,,,,,,
陳大松,澎湖縣選舉區,無黨籍,N,N,,,https://scontent.ftpe7-4.fna.fbcdn.net/v/t31.0-8/24254828_340191723057600_121590162298117553_o.jpg?_nc_cat=101&_nc_oc=AQnmLLoCI8KtHTznAvobEpv6duwpEtSeNyMsVYgebO3E14vI4RUkAcgO_-6MVmol6lSsuPSe2t1zA_uvRQImZOKG&_nc_ht=scontent.ftpe7-4.fna&oh=ebda1bdac4f19b0aa8a6354b0955034a&oe=5E892086,,https://www.facebook.com/%E9%99%B3%E5%A4%A7%E6%9D%BE-337867649956674/,,,,,,
陳玉珍,金門縣選舉區,中國國民黨,Y,Y,1973-01-01,47,http://www.ly.gov.tw/Images/Legislators/90127.jpg,https://zh.wikipedia.org/wiki/陳玉珍_,https://www.facebook.com/KinmenMyLove/,金門高中;台大中文系（法律輔系）;日本九州大學國際公法碩士;北京大學國際經濟法法學碩士;哈佛大學公共政策學院進修;,立法院OpenData,"金門縣議會三屆縣議員;金門縣議會議長陳水木助理;台灣「日本交流協會」獎學金;中國國家教委會獎學金;
  ;",立法院OpenData,,
李應文,金門縣選舉區,中國國民黨,N,N,,,,,,,,,,,
洪正,金門縣選舉區,台灣基進,N,N,,,https://scontent.ftpe7-2.fna.fbcdn.net/v/t1.0-9/58583811_312438416119537_285835180264914944_o.jpg?_nc_cat=104&_nc_oc=AQn-g9k9U_3bPegejD8Scis0uMFDfgHbbvz0CrnAtQZyPoiCK0rzULdRkZfnGwfVSesQjk5nwNCu658YI8Z3msIC&_nc_ht=scontent.ftpe7-2.fna&oh=2187e9587a375b7e8f77115985ff2c00&oe=5E4CBF42,,https://www.facebook.com/HungCheng.TK/,,,,,,
洪志恒,金門縣選舉區,金門高粱黨,N,N,,,,,,,,,,,
盧月香,金門縣選舉區,中國生產黨,N,N,,,,https://zh.wikipedia.org/wiki/新黨,,,,,,,
吳成典,金門縣選舉區,新黨,N,Y,1957-05-10,63,http://www.ly.gov.tw/Images/Legislators/ly1000_6_00026_13f.jpg,,https://www.facebook.com/welikekm/,輔仁大學;美國凱斯西儲大學化學博士;,立法院OpenData,"新竹工業技術研究院材料所;亞洲化學技術副總;新黨黨部副秘書長;國大代表;金門縣副縣長;第五、六屆立法委員;
  ;",立法院OpenData,,
洪和成,金門縣選舉區,無黨籍,N,N,,,https://scontent.ftpe7-4.fna.fbcdn.net/v/t1.0-9/67881387_2281643138609969_606153420293799936_o.jpg?_nc_cat=107&_nc_oc=AQmlM2nfKepc1_bgHkC-28MYj9oMFEdeTNtljMuFKD3h6aI6CXr87jTOS8eqLRxnHVTfy86kbyezh8Kk3r_g3Jux&_nc_ht=scontent.ftpe7-4.fna&oh=efce556e1d84c3bb884df0a11c57a192&oe=5E47D0EB,,https://www.facebook.com/HerCheng.Hong/,,,,,,
陳雪生,連江縣選舉區,中國國民黨,Y,Y,1952-01-01,68,http://www.ly.gov.tw/Images/Legislators/90066.jpg,https://zh.wikipedia.org/wiki/陳雪生,https://www.facebook.com/matsuchenlionheart/,省立豐原商職畢業;,立法院OpenData,"第3屆國大代表;第3、4屆連江縣縣長;雪源文教基金會董事長;馬祖馬尾經貿交流協會理事長;國立馬祖高中校友會理事長 ;連江縣體育會理事長;第8屆連江縣立法委員;
  ;",立法院OpenData,,
李問,連江縣選舉區,民主進步黨,N,N,1989-03-04,31,https://scontent.ftpe7-4.fna.fbcdn.net/v/t1.0-9/73159520_146704773364705_1758859635369967616_o.jpg?_nc_cat=107&_nc_oc=AQmEz0SgK_L57NgWY7mnBRq_6B8364PyrN-x6rescr0bdy_rtF3mow0Ny7261KuKzSvr_XFAEGApNqeF2TFngI84&_nc_ht=scontent.ftpe7-4.fna&oh=79a49454476e7c49d9380413e6bf1cf9&oe=5E4ED6E5,https://zh.wikipedia.org/wiki/李問,https://www.facebook.com/wen1949/,,,,,,
李克焜,連江縣選舉區,國會政黨聯盟,N,N,,,https://scontent.ftpe7-4.fna.fbcdn.net/v/t1.0-9/44783481_318826505584999_5313737077664251904_n.jpg?_nc_cat=101&_nc_oc=AQlQwuR5mVmMVoZ0CICqQRBKq7kV6IolQ0kvyjUcTR1DOIUaGVaINDvYJYrvsWW8CUVIti593xyKokdg9gr5w7VN&_nc_ht=scontent.ftpe7-4.fna&oh=b25350e27936e53208dde864a319a2cb&oe=5E5703F8,,https://www.facebook.com/%E6%84%9B%E5%BF%83%E9%BB%A8%E6%9D%8E%E5%85%8B%E7%84%9C-318795942254722/,,,,,,
王長明,連江縣選舉區,無黨籍,N,N,,,,,,,,,,,
鄭天財,平地原住民選舉區,中國國民黨,Y,Y,1956-12-16,63,,https://zh.wikipedia.org/wiki/鄭天財,,,,,,,
廖國棟,平地原住民選舉區,中國國民黨,Y,Y,1955-01-08,65,http://www.ly.gov.tw/Images/Legislators/80086.jpg,https://zh.wikipedia.org/wiki/廖國棟,https://www.facebook.com/Sufin.Siluko/,台東縣都蘭國小;台東縣都蘭國中;台北縣淡江高中;高雄醫學大學醫學系71年畢業;,立法院OpenData,"台東縣延平、海端、蘭嶼、長濱、成功等鄉鎮衛生所主任兼醫師;台東衛生局醫政課長;台東基督教醫院主治醫師;第3屆國大代表;第5、6、7屆立法委員;
  ;",立法院OpenData,,
黃仁,平地原住民選舉區,中國國民黨,N,N,,,https://scontent.ftpe7-3.fna.fbcdn.net/v/t1.0-9/67875056_471426706747992_4170361352621129728_n.png?_nc_cat=103&_nc_oc=AQkqTXe7O4i0AsR22GP7itB9Vsv-U3M5zlFuLtctx-MOb0K6khV-isdGQOBHLEgae5pRLl5exObMcys4K9Z-2yPr&_nc_ht=scontent.ftpe7-3.fna&oh=07118cd3428b8205722521e51e60f53a&oe=5E51EFDC,,https://www.facebook.com/kincyang1/,,,,,,
陳瑩,平地原住民選舉區,民主進步黨,Y,Y,1972-11-15,47,http://www.ly.gov.tw/Images/Legislators/90069.jpg,https://zh.wikipedia.org/wiki/陳瑩_,https://www.facebook.com/11YIG/,美國伊利諾大學香檳校園音樂系博士班畢業;美國伊利諾大學香檳校園音樂系碩士班畢業;美國舊金山音樂學院學士畢業;美國夏威夷楊百翰大學學士肄業;高雄文藻外語大學畢業;,立法院OpenData,"第6屆平地原住民立法委員;第7屆不分區立法委員;第7屆第4會期社會福利及衛生福利環境委員會召集委員;第7屆第6會期外交國防委員會召委;立法院民主進步黨團團書記長;民主進步黨中央常務委員;美國伊俐諾大學香檳校園教學助理;
  ;",立法院OpenData,,
楊進福,平地原住民選舉區,無黨團結聯盟,N,N,,,https://scontent.ftpe7-4.fna.fbcdn.net/v/t1.0-9/72444864_2534837236598391_674946113337294848_n.jpg?_nc_cat=107&_nc_oc=AQlr3xwFNomYHiwptuyhtiqg3C804D2PjffL76VKONyPaljrYgn2u5Rw3ThICKOT7sM&_nc_ht=scontent.ftpe7-4.fna&oh=8acb1b3fab18e438816f6dc1ccb14935&oe=5E3E60A5,https://zh.wikipedia.org/wiki/無黨團結聯盟,https://www.facebook.com/%E6%A1%83%E5%9C%92%E5%B8%82%E8%AD%B0%E5%93%A1%E6%A5%8A%E9%80%B2%E7%A6%8F%E6%9C%8D%E5%8B%99%E8%99%95-648923528523114/,銘傳大學公共事務學系碩士畢業;黎明工專機械工程科畢業;省立內埔農工農機科畢業;花蓮縣立美崙國中畢業;花蓮縣北富國小、明恥國小畢業;,http://www.tycc.gov.tw/content/intro/intro_main.aspx?wtp=1&wnd=204&id=1205,桃園市第1屆市議員、第17屆縣議員;銘傳大學、醒吾科大兼任講師;桃園縣龜山鄉第16、18屆鄉民代表;邱正明律師事務所法務助理;文化大學法律研究所進修;,http://www.tycc.gov.tw/content/intro/intro_main.aspx?wtp=1&wnd=204&id=1205,"懇請讓進福在未來四年繼續照顧您的食衣住行育樂，項目簡要如下：
1.持續推動籌組聯合勞工職業工會。
2.爭取公有閒置土地放租，供原住民族人種植農作物。
3.爭取提升原住民族團體意外保險之保障額度及範圍。
4.爭取提高原住民族生育給付及育兒津貼額度。
5.爭取社會住宅(租屋)及合宜住宅(買屋)的比率，並放寬條件。
6.推動包租代管業務，讓租屋補助看的到，也吃的到。
7.爭取返鄉參加歲時祭儀往返交通費用補助。
8.爭取本市清寒原住民學生上學之交通費用補助。
9.持續推動原住民完全中學設立，爭取廣設公立(公辦民營)幼托機構，提升幼童、國中小、高中及大學之各項教育補助。
10.定期辦理各區法律、地政、行政、勞動講座，保障族人應有權益。
11.扶植原住民族社團如同鄉會、藝術團、宗教團體等社團，共同推動民族文化傳承，提高補助活動經費。
12.爭取提高原住民族事務幹部津貼及意外保險額度。
進福服務不分族群、不分區域，您的一通電話我的服務到家，讓我們一起來共創新桃園、新家園。",http://www.tycc.gov.tw/content/intro/intro_main.aspx?wtp=1&wnd=204&id=1205
高潞·以用·巴魕剌,平地原住民選舉區,無黨籍,N,N,1977-04-09,43,https://scontent.ftpe7-4.fna.fbcdn.net/v/t1.0-9/69638577_2446788468930246_7204491529447014400_o.jpg?_nc_cat=105&_nc_oc=AQkL7XCqw0Xrsa3PlzegDWWBAtOcEV4GKRozBxwFrXH3HvbOkLh9JMR2nVL8rZFZONdFNwObfSrYl2vVb5EMHRqR&_nc_ht=scontent.ftpe7-4.fna&oh=ac796da542604333b65c6cfe38dd8d42&oe=5E5718D8,https://zh.wikipedia.org/wiki/高潞·以用·巴魕剌,https://www.facebook.com/kawloiyun/,,,,,,
孔文吉,山地原住民選舉區,中國國民黨,Y,Y,1957-10-18,62,http://www.ly.gov.tw/Images/Legislators/90006.jpg,https://zh.wikipedia.org/wiki/孔文吉,https://www.facebook.com/%E5%AD%94%E6%96%87%E5%90%89-134086613358799/,英國羅芙堡大學(Loughorough Univ.)社會學系媒體研究組博士;美國奧勒岡大學(University of Oregon)新聞碩士;台灣大學外文系畢業;,立法院OpenData,內政部民政司專員;台北市政府原民會主委;行政院新聞局聯絡室秘書;公共電視董事;財團法人公共電視文化事業基金會董事;第6、7、8屆立法委員;台北市政府原住民事務委員會主任委員;東吳大學社工系兼任助理教授;花蓮師範學院多元文化研究所兼任助理教授;國立東華大學原住民民族學院兼任助理教授;朝陽科技大學應用外語系助理教授;文藻外語專科學校及朝陽科技大學助理教授;,立法院OpenData,,
