選區,參選人,網址,FB_ID,讚數,藍勾勾,建立日期,管理員國家,改名次數
臺北市第六選舉區,張余健,https://www.facebook.com/50%E8%90%AC%E9%81%B8%E7%AB%8B%E5%A7%94-%E5%BC%B5%E4%BD%99%E5%81%A5-%E5%A4%A7%E5%AE%89%E5%8D%80%E7%AB%8B%E5%A7%94%E5%80%99%E9%81%B8%E4%BA%BA%E6%9C%8D%E5%8B%99%E8%99%95-103252787739139/,103252787739139,642,not_verified,2019-09-16,"Taiwan (3)",0
臺北市第六選舉區,蘇恆,https://www.facebook.com/SuuHengg/,1027928077269029,8803,not_verified,2016-03-16,"Taiwan (4)",2
臺北市第六選舉區,沈宜璇,https://www.facebook.com/evadancetw/,109242227166405,87,not_verified,2019-10-22,,0
臺北市第七選舉區,費鴻泰,https://www.facebook.com/%E8%B2%BB%E9%B4%BB%E6%B3%B0%E9%98%BF%E5%8A%9B%E5%85%8B%E5%8F%B8-893657620668012/,893657620668012,69358,blue_verified,2014-12-26,"Taiwan (5)",1
南投縣第二選舉區,許淑華,https://www.facebook.com/%E8%A8%B1%E6%B7%91%E8%8F%AF-130771133668155/,130771133668155,210615,blue_verified,2011-05-18,"Taiwan (2)",1
臺北市第七選舉區,蔡宜芳,https://www.facebook.com/Tsai.Yi.Fang.Amy/,187056825222880,16007,blue_verified,2018-01-31,"Taiwan (5)",2
臺北市第七選舉區,洪正一,https://www.facebook.com/5PlusOne2020/,117260399675854,511,not_verified,2019-10-01,"Taiwan (6)",0
臺北市第七選舉區,池國樑,https://www.facebook.com/2020-%E6%B1%A0-%E5%9C%8B%E6%A8%91-%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1-%E5%80%99%E9%81%B8%E4%BA%BA-792063027833034/,792063027833034,150,not_verified,2019-03-28,,0
臺北市第八選舉區,賴士葆,https://www.facebook.com/%E8%B3%B4%E5%A3%AB%E8%91%86-1573873889493647/,1573873889493647,161123,blue_verified,2015-01-05,"Taiwan (11)",0
臺北市第八選舉區,阮昭雄,https://www.facebook.com/%E9%98%AE%E6%98%AD%E9%9B%84-228234588681/,228234588681,30295,blue_verified,2010-01-01,"Taiwan (5)",0
臺北市第八選舉區,顏銘緯,https://www.facebook.com/weifortw/,113354176727818,6198,not_verified,2019-09-21,"Taiwan (9)",0
臺北市第八選舉區,張幸松,https://www.facebook.com/shingsong1106/,120719819319998,2340,blue_verified,2019-09-22,"Taiwan (5)",1
新北市第一選舉區,洪孟楷,https://www.facebook.com/MongKaiHUNG/?ref=br_rs,259512084446867,47480,blue_verified,2016-10-21,"Taiwan (17)",2
新北市第一選舉區,呂孫綾,https://www.facebook.com/shirleylu312/,932173560139717,68924,blue_verified,2015-02-05,"Taiwan (10)",1
新北市第一選舉區,張衞航,https://www.facebook.com/%E5%BC%B5%E8%A1%9E%E8%88%AA%E5%BE%8B%E5%B8%AB-470500560373820/,470500560373820,1972,not_verified,2019-06-26,"Taiwan (5)",0
新北市第一選舉區,陳昭宏,https://www.facebook.com/%E7%AC%AC10%E5%B1%86%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E9%81%B8%E8%88%89%E6%96%B0%E5%8C%97%E5%B8%82%E7%AC%AC1%E9%81%B8%E5%8D%80%E6%93%AC%E5%8F%83%E9%81%B8%E4%BA%BA-%E9%99%B3%E6%98%AD%E5%AE%8F-335926227073451/,335926227073451,602,not_verified,2019-06-07,"Taiwan (3)",0
新北市第二選舉區,黃桂蘭,https://www.facebook.com/newtaipeifirefly/,232288637149179,5115,not_verified,2016-05-12,"Taiwan (5)",0
新北市第二選舉區,林淑芬,https://www.facebook.com/linshufen.fans/,169014523134260,101378,blue_verified,2010-12-15,"Taiwan (9)",0
新北市第二選舉區,羅和讚,https://www.facebook.com/%E7%BE%85%E5%92%8C%E8%AE%9A-%E4%B8%89%E9%87%8D%E5%8D%80%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E5%8F%83%E9%81%B8%E4%BA%BA-126304108770584/,126304108770584,344,not_verified,2019-10-05,"Taiwan (3)",1
新北市第三選舉區,李翁月娥,https://www.facebook.com/yourliweng/,272384659474649,8938,not_verified,2011-11-15,"Taiwan (7)",2
新北市第三選舉區,余天,https://www.facebook.com/yutian.fans/,184889114896212,30152,blue_verified,2011-05-19,"Taiwan (7)",0
新北市第三選舉區,李旻蔚,https://www.facebook.com/SanchongGirl/,101050274655403,2559,not_verified,2019-10-17,"Taiwan (5)",1
新北市第三選舉區,林泰龍,https://www.facebook.com/GoodTimeLong/,114247383335128,120,not_verified,2019-10-28,,1
新北市第四選舉區,陳明義,https://www.facebook.com/imingyi/,109032472496866,38684,blue_verified,2010-11-04,"Taiwan (7)",2
新北市第四選舉區,吳秉叡,https://www.facebook.com/Wubray/,154631861234059,104592,blue_verified,2010-10-01,"Taiwan (6)",0
新北市第五選舉區,黃志雄,https://www.facebook.com/ChihHsiung.H/,314417369418435,2432,not_verified,2019-02-17,"Taiwan (2)",0
新北市第五選舉區,蘇巧慧,https://www.facebook.com/chiaohui.su/,456170574528072,153376,blue_verified,2014-04-19,"Taiwan (19), United States (2)",0
新北市第六選舉區,林國春,https://www.facebook.com/supercoplin/,368538816565950,17600,blue_verified,2012-11-06,"Taiwan (7)",4
新北市第六選舉區,張宏陸,https://www.facebook.com/hunglueball/,180099508994152,22910,blue_verified,2015-10-13,"Taiwan (13)",0
