term,sessionPeriod,sessionTimes,name,clicks
"09","03","14",公教人員保險法修正草案,1543
"09","01","21",跟蹤騷擾防制法草案,1512
"09","07","05",道路交通管理處罰條例第六十七條條文修正草案,1481
"09","01","16",檢察署組織法草案,1464
"09","04","06",口腔衛生人員法草案,1455
"09","01","13",教保服務人員條例草案,1428
"09","02","09",民法第一千一百三十八條及第一千二百二十三條條文修正草案,1428
"09","01","21",勞動基準法部分條文修正草案,1419
"09","02","12",就業服務法第五條及第六十五條條文修正草案,1363
"09","03","12",財團法人法草案,1342
"09","01","03",廢棄物清理法部分條文修正草案,1335
"09","03","14",社會企業發展條例草案,1319
"09","04","03",勞動基準法第三十條之一條文修正草案,1308
"09","06","03",全民防衛動員準備法部分條文修正草案,1307
"09","02","01",勞動基準法第三十八條條文修正草案,1305
"09","04","09",勞動基準法部分條文修正草案,1225
"09","03","07",法院組織法第六十六條之二、第六十六條之四及第六十七條條文修正草案,1216
"09","01","13",高級中等教育法第六十七條條文修正草案,1194
"09","03","02",駐美國台北經濟文化代表處與美國在台協會合作促進外國帳戶稅收遵從法執行協定,1162
"09","01","01",國家安全法第五條及第七條條文修正草案,1152
"09","01","10",公務人員退休法第二十一條、第二十三條修正條文及增訂第二十四條之一條文草案,1146
"09","03","07",都市再生特別條例草案,1125
"09","01","04",中華民國刑法增訂第三百二十四條之一條文草案,1122
"09","01","01",集會遊行法修正草案,1116
"09","01","01",勞動基準法部分條文修正草案,1096
"09","02","06",長期照顧服務法部分條文修正草案,1095
"09","04","14",法院依民法第194條酌定非財產上損害賠償金額之分析報告,1093
"09","01","19",漁業法部分條文修正草案,1084
"09","02","11",陸海空軍軍官士官服役條例第二十四條及第三十四條條文修正草案,1082
"09","01","06",地方制度法部分條文修正草案,1072
"09","03","14",營造業法第三十四條條文修正草案,1052
"09","05","10",數位通訊傳播法草案,1052
"09","02","07",廢棄物清理法部分條文修正草案,1048
"09","03","14",偏遠地區學校教育發展條例草案,1048
"09","04","03",中華民國刑法第一百九十三條條文修正草案,1048
"09","03","08",法警職權行使法草案,1047
"09","02","13",勞動基準法第三十八條條文修正草案,1038
"09","03","14",政務人員退職撫卹條例修正草案,1038
"09","07","13",中華民國刑法第八十三條及第八十五條條文修正草案,1036
"09","01","15",中華民國刑法第四十條條文修正草案,1020
"09","02","11",陸海空軍軍官士官服役條例第十五條條文修正草案,997
"09","04","07",中華民國刑法部分條文修正草案,993
"09","04","06",食農教育法草案,986
"09","04","06",空氣污染防制法第十八條條文修正草案,983
"09","03","02",勞動基準法第三十二條之一及第三十八條條文修正草案,980
"09","03","01",都市危險及老舊建築物加速重建獎勵條例草案,978
"09","07","03",貨物稅條例第十二條之五及第十二條之六條文修正草案,964
"09","01","04",難民法草案,962
"09","02","01",藥事法部分條文修正草案,961
"09","05","13",公教人員保險法第四十八條條文修正草案,957
"09","05","09",陸海空軍軍官士官服役條例修正草案,951
"09","05","14",性隱私影像侵害犯罪防制條例草案,950
"09","04","06",契約人員人事條例草案,948
"09","01","08",工廠管理輔導法第三十四條條文修正草案,942
"09","03","14",外國專業人才延攬及僱用法草案,930
"09","02","07",就業服務法第五十二條條文修正草案,922
"09","03","14",國家運輸安全調查委員會組織法草案,921
"09","01","15",刑事訴訟法施行法增訂第七條之九條文草案,916
"09","01","02",宗教團體法草案,912
"09","01","10",高級中等教育法部分條文修正草案,910
"09","02","14",洗錢防制法第十四條條文修正草案,909
"09","01","20",原住民族教育法第九條條文修正草案,906
"09","01","21",總統交接條例草案,905
"09","01","19",勞動基準法第三十八條條文修正草案,900
"09","04","01",揭弊者保護法草案,897
"09","02","16",發展觀光條例部分條文修正草案,895
"09","01","20",動物保護法第二十七條及第三十一條條文修正草案,892
"09","01","20",所得稅法增訂第四十三條之三及第四十三條之四條文草案,888
"09","02","08",勞動基準法第十四條條文修正草案,887
"09","07","06",教師法修正草案,885
"09","01","06",農田水利會組織通則部分條文修正草案,870
"09","01","20",廢止中華民國紅十字會法,870
"09","01","03",集會遊行法修正草案,859
"09","07","11",政府採購法部分條文修正草案,857
"09","03","14",勞動基準法增訂第四十條之一條文草案,852
"09","04","15",公司法部分條文修正草案,852
"09","02","17",交通部鐵道局組織法草案,849
"09","03","08",數位經濟基本法草案,847
"09","02","13",國籍法部分條文修正草案,844
"09","02","10",家事事件法部分條文修正草案,841
"09","01","08",媒體壟斷防止暨多元維護法草案,840
"09","04","12",公民投票法第七條條文修正草案,838
"09","01","04",自用房屋租賃法草案,834
"09","04","11",促進轉型正義條例草案,834
"09","02","15",公司法增訂部分條文草案,833
"09","02","01",洗錢防制法修正草案,832
"09","01","13",所得稅法第四十三條之三、第四十三條之四及第一百二十六條條文修正草案,824
"09","05","03",都市更新條例部分條文修正草案,824
"09","04","02",107年度至108年度中央政府流域綜合治理計畫第3期特別預算案,819
"09","01","21",公職人員選舉罷免法部分條文修正草案,812
"09","02","07",民法親屬編增訂部分條文草案,812
"09","03","08",動物保護法部分條文修正草案,812
"09","02","12",勞工退休金條例部分條文修正草案,810
"09","03","08",公立學校教職員退休撫卹條例草案,808
"09","04","14",醫療器材管理法草案,808
"09","01","09",兩岸訂定協議監督條例草案,802
"09","02","11",勞動基準法第三十七條條文修正草案,800
"09","05","07",司法院大法官審理案件法修正草案,786
"09","01","02",公務人員退休法部分條文修正草案,784
"09","07","08",貨物稅條例第十二條之五及第十二條之六條文修正草案,784
"09","04","01",貨物稅條例增訂第九條之一及第十二條之六條文草案,781
"09","03","15",公務人員保障法部分條文修正草案,780
"09","01","06",公民投票法修正草案,779
"09","02","08",遺產及贈與稅法部分條文修正草案,777
"09","02","08",電業法修正草案,772
"09","04","12",中華民國107年度中央政府總預算案（含附屬單位預算及綜計表─營業及非營業部分）,768
"09","01","07",毒、藥癮、酒駕、三振法案及各類犯罪行為刑罰實效之刑事政策檢討,764
"09","02","08",菸酒稅法第七條、第二十條及第二十條之一條文修正草案,763
"09","04","01",入出國及移民法第二十五條條文修正草案,763
"09","02","06",土地徵收條例修正草案,762
"09","05","10",警察人員人事條例第二十二條附表一修正草案,758
"09","01","21",勞動基準法第三十六條、第七十四條及第七十九條條文修正草案,753
"09","01","16",消費者債務清理條例部分條文修正草案,751
"09","01","19",赦免法第三條條文修正草案,742
