政黨,順位,姓名,現任立委,曾任立委（次要）,生日,年齡,照片,wiki,FB 粉絲專頁,學歷,學歷連結,經歷,經歷連結,政見,政見連結,其他,(封存) 缺少來源的學歷,(封存) 缺少來源的政見
民主進步黨,10,莊瑞雄,Y,Y,1963-04-20,56,https://scontent.ftpe8-1.fna.fbcdn.net/v/t1.0-9/75242013_3058877777461670_8294352984184193024_n.jpg?_nc_cat=108&_nc_ohc=STNsirgF3swAQlefG9ITu2uEbksxzZ9vj_3291xPqCagDqLD41qGu1SPw&_nc_ht=scontent.ftpe8-1.fna&oh=ba5da69d7faf0dd60942918235646ac5&oe=5E843509,https://zh.wikipedia.org/wiki/莊瑞雄,https://www.facebook.com/lawyer0420,"國立臺灣大學生物產業傳播暨發展學系博士班（2019年8月已取得博士候選人資格）
國立臺北大學企業管理學系研究所碩士
國立臺灣大學農業經濟學系研究所碩士
國立臺灣大學法律系學士",https://zh.wikipedia.org/wiki/莊瑞雄,"第8、9屆立法委員;
公民監督國會聯盟評鑑最優秀立法委員;
執業律師;
民進黨發言人;
民進黨中央執行委員;
第13、14屆民進黨臺北市黨部主委;
台北市議員(士林.北投);
全民監督黨產聯盟執行長;
中選會巡迴監察員;
綠色和平電台主持人;
台灣國家山岳協會理事長;
綠色和平電台主持人",立法院OpenData + FB,,,,,
民主進步黨,11,沈發惠,N,Y,1966-11-02,53,https://scontent.ftpe8-1.fna.fbcdn.net/v/t1.0-9/10513378_806769002687519_5825849562613015488_n.jpg?_nc_cat=108&_nc_ohc=gzXhxu0ELzgAQkcdxbNLBeXzwK9MfHVrs16mu3Nk6wOuh7ykMYRpZMyBg&_nc_ht=scontent.ftpe8-1.fna&oh=c76809fa7ef29535e087bc689dde9279&oe=5E844DCC,https://zh.wikipedia.org/wiki/沈發惠,https://www.facebook.com/fahui.shen,國立臺灣大學政治學碩士,官方提供,"現任民進黨中常委
新北市議員",官方提供,,,,"第1-2屆新北市議會議員
任期2010年12月25日－2018年12月24日 
中華民國第6屆立法委員
任期2005年2月1日－2008年1月31日第13-14屆
臺北縣議員
任期1998年3月1日－2005年1月31日",
民主進步黨,12,林楚茵,N,N,,47,https://scontent.ftpe8-1.fna.fbcdn.net/v/t1.0-9/76717508_2457629741180133_3100307771657027584_n.jpg?_nc_cat=109&_nc_ohc=yS0uT2SYZfMAQmJC8ClX2RogKF0thGufZzJP3hH4dsyP2aWJuFzMiAFNw&_nc_ht=scontent.ftpe8-1.fna&oh=a67e10482168bcc30c63f4e6d9ae5eb4&oe=5E4B37BD,https://zh.wikipedia.org/wiki/林楚茵,https://www.facebook.com/setchuyinlin/,,,現任三立新聞台主播,官方提供,,,,,
民主進步黨,13,施義芳,Y,N,1962-02-10,57,,https://zh.wikipedia.org/wiki/施義芳,,中央大學土木工程學系碩士,官方提供,"現任立法委員
中華民國土木技師公會聯合會理事長",官方提供,,,,現任立委、工程界代表,
民主進步黨,14,游萬豐,N,N,,51,https://scontent.ftpe8-4.fna.fbcdn.net/v/t1.0-1/p320x320/27337376_2074982136064720_2286181451029467679_n.jpg?_nc_cat=102&_nc_ohc=9r5Ct-lY4DsAQl6ymwtUaYpDlHy-HkTcJ6yiT8tHkI1w-ib08B2ibxNlQ&_nc_ht=scontent.ftpe8-4.fna&oh=34fa919172ff67bc9800d3d2f5d1e555&oe=5E4BA0A7,https://zh.wikipedia.org/wiki/游萬豐,https://www.facebook.com/profile.php?id=100006588618056,University of Liege EMBA 高階企業管理碩士,官方提供,"現任世界台灣商會聯合總會總會長
南非自由省中華學校文教基金會",官方提供,,,,僑務委員、前世界台商總會會長,
民主進步黨,15,歐蜜‧偉浪,N,N,,,,https://zh.wikipedia.org/wiki/歐蜜‧偉浪,,玉山神學院,官方提供,"現任台灣原住民族部落行動聯盟秘書長
原住民代表
長老教會牧師
原住民族文化事業基金會第3屆董事審查委員","https://www.facebook.com/omioslt
官方提供",,,,,
民主進步黨,16,湯蕙禎,N,N,,,,https://zh.wikipedia.org/wiki/湯蕙禎,,臺灣大學,官方提供,"現任桃園市政府民政局長
桃園縣政府勞動及人力資源處長
桃園市客家文化基金會董事",官方提供,,,,,
民主進步黨,17,陳靜敏,Y,N,1966-05-02,53,https://scontent.ftpe8-3.fna.fbcdn.net/v/t1.0-9/47455449_2195825763993984_8667505077210054656_n.jpg?_nc_cat=111&_nc_ohc=PAowFJVBFGwAQnoUBi2-kbg1JKOB27eu-ymfRXDmtX3Nz3VMjW3moId7w&_nc_ht=scontent.ftpe8-3.fna&oh=8c8bf42f57f185a6bf3851baf15e7dcf&oe=5E42D43F,https://zh.wikipedia.org/wiki/陳靜敏,https://www.facebook.com/wumama.amy/,美國印第安那大學護理學博士,官方提供,"現任不分區立法委員
成大國際事務處副國際事務長
成大護理學系教授
台灣社區護理學會理事長",官方提供,,,,,
民主進步黨,18,黃奕睿,N,N,,,,https://zh.wikipedia.org/wiki/黃奕睿,,"美國麻州大學企研所碩士
國立政治大學碩士",官方提供,"現任會計師公會全聯會理事長
社團法人台灣省會計師公會理事長",官方提供,,,,,
民主進步黨,19,許忠富,N,N,,,https://scontent.ftpe8-3.fna.fbcdn.net/v/t1.0-9/65093897_450860885727742_5743179458748088320_n.jpg?_nc_cat=106&_nc_ohc=5oALkdkriE0AQkZoIWjaOLtnm3Y-DJm-aZDloB7lvv83SD4ypJyyoGzeA&_nc_ht=scontent.ftpe8-3.fna&oh=b5908cee8b3506eff814984fd27a2f03&oe=5E8BDF5B,https://zh.wikipedia.org/wiki/許忠富,https://www.facebook.com/hsuchungfu1226/,私立嘉南商工,官方提供,"現任前雲林縣麥寮鄉長
麥寮拱範宮主任委員",官方提供,,,,,
民主進步黨,20,張菊芳,N,N,,,https://scontent.ftpe8-2.fna.fbcdn.net/v/t1.0-1/71900630_2484446471842624_2847080069002690560_o.jpg?_nc_cat=101&_nc_ohc=gtIpG85AgbcAQnWGe3Gx1tb7WNghYfAkVSkVzVS1Ts_SCSEesuPzQZAyA&_nc_ht=scontent.ftpe8-2.fna&oh=4bea202229af603fff30351c0d9b6c79&oe=5E8AA06C,https://zh.wikipedia.org/wiki/張菊芳,https://www.facebook.com/profile.php?id=100008318868033,臺大法律系法學組學士,官方提供,"現任律師
台北市律師公會常務理事
婦女新知基金會副董事長暨法律組召集人
財團法人法律服務基金會士林分會會長",官方提供,,,,法扶基金會董事、律師,
民主進步黨,21,呂建德,N,N,,,,https://zh.wikipedia.org/wiki/呂建德,,德國 BIELEFELD 大學社會科學博士,官方提供,"現任中正大學社會福利系教授
前臺中市政府社會局局長
臺灣社會福利學會秘書長
國立政治大學社會學系兼任助理教授",官方提供,,,,,
民主進步黨,22,陳培瑜,N,N,,,,https://zh.wikipedia.org/wiki/陳培瑜,,國立東華大學教育研究所,官方提供,"現任兒童閱讀教育推廣老師
設立花東地區第一間專業兒童書店
長期推動親職關係經營以及閱讀",官方提供,,,,,
民主進步黨,23,顏聖冠,N,N,1968-06-20,51,,https://zh.wikipedia.org/wiki/顏聖冠,,"國立政治大學政治學系學士
美國華盛頓大學政治管理學碩士",官方提供,"前台北市議員
民進黨台北市議會黨團幹事長
臺北市議會（第8-12屆）議員
民主進步黨文宣部主任",官方提供,,,,,
民主進步黨,24,李淑芬,N,N,,,,https://zh.wikipedia.org/wiki/李淑芬,,佛光大學經濟研究所碩士,官方提供,現任礁溪鄉農會績優總幹事,官方提供,,,,,
民主進步黨,25,柯富揚,N,N,,,,https://zh.wikipedia.org/wiki/柯富揚,,中國醫藥大學中國醫學研究所碩士,官方提供,"中藥師公會全聯會理事長
第九、十屆中華民國醫師公會全國聯合會秘書長
中華民國行政院政務顧問
彰化縣中醫師公會理事長",官方提供,,,,,
民主進步黨,26,黃金舜,N,N,,,,https://zh.wikipedia.org/wiki/黃金舜,,大仁科技大學藥學系碩士班碩士,官方提供,"現任臺北市藥師公會理事長
中華民國藥師公會全國聯合會理事長
行政院政務顧問",官方提供,,,,,
民主進步黨,27,林愛龍,N,N,,,,https://zh.wikipedia.org/wiki/林愛龍,,美國賓州州立大學法學博士候選人,官方提供,"現任台灣海洋保育與漁業永續基金會執行長
行政院海洋委員會委員
台灣海龍王愛地球協會理事長",官方提供,,,,,
民主進步黨,28,董建宏,N,N,,,,https://zh.wikipedia.org/wiki/董建宏,,紐約市哥倫比亞大學都市計畫博士,官方提供,"前台灣勞工陣線協會理事長
台灣中社秘書長",官方提供,,,,,
民主進步黨,29,林世嘉,N,Y,1969-04-15,50,,https://zh.wikipedia.org/wiki/林世嘉,,國立陽明大學衛生福利研究所碩士,官方提供,"前立法委員
財團法人台灣醫界聯盟基金會執行長
台安生物科技股份有限公司總經理
衛生福利部國際醫療政策諮議會委員",官方提供,,,,,
民主進步黨,30,黃帝穎,N,N,1984-01-23,35,,https://zh.wikipedia.org/wiki/黃帝穎,,國立台北教育大學文教法律所法學碩士,官方提供,"現任律師
現任永社理事長",官方提供,,,,"""國立台灣師範大學公民教育與活動領導學系博士班
國立台北教育大學文教法律所法學碩士
東吳大學法學學士
臺北市立成功高中
""",
民主進步黨,31,趙心瑜,N,N,,,,https://zh.wikipedia.org/wiki/趙心瑜,,國立台北商業大學企業管理系EMBA,官方提供,"現任民進黨台北市黨部副執行長
2016蔡英文台北市競選總部文宣部主任",官方提供,,,,,
民主進步黨,32,蔣念祖,N,N,,,,https://zh.wikipedia.org/wiki/蔣念祖,,澳門科技大學工商管理博士,官方提供,"現任台北市婦女新知協會理事長
政大法律學系博士候選人",官方提供,,,,,
民主進步黨,33,楊懿珊,N,N,,,,https://zh.wikipedia.org/wiki/楊懿珊,,英國倫敦大學皇家哈洛威學院政治暨國際關係學碩士,官方提供,"現任民進黨新聞部主任
臺中市政府文化局主任秘書",官方提供,,,,,
勞動黨,1,羅美文,N,N,,,,https://zh.wikipedia.org/wiki/羅美文,https://www.facebook.com/luomeiwen/,,,"第19屆新竹縣議員
任期2018年－2022年选区",,,,,,
勞動黨,2,王娟萍,N,N,,,,https://zh.wikipedia.org/wiki/王娟萍,,,,,https://www.facebook.com/lllrawcp,,,,,
中國國民黨,1,曾銘宗,Y,N,1959-01-22,60,,https://zh.wikipedia.org/wiki/曾銘宗,,"國立臺北大學企業管理學系博士、
國立高雄科技大學財務金融名譽博士 
國立中興大學法商學院公共政策研究所碩士
國立中興大學法商學院財稅學系學士
臺灣省立嘉義高級中學
",,國民黨政策會前執行長、黨團總召、立委、金管會前主委,,,,,,
中國國民黨,2,葉毓蘭,N,N,1958-02-27,61,,https://zh.wikipedia.org/wiki/葉毓蘭,,"美國伊利諾大學（芝加哥）公共政策分析博士
美國西伊利諾大學警察行政研究所碩士
中央警官學校公共安全學系學士
臺北市立第一女子高級中學


",,亞洲警察學會祕書長、警大前教授,,,,,,
中國國民黨,3,李貴敏,N,Y,,59,,https://zh.wikipedia.org/wiki/李貴敏,,,,律師、前立委,,,,,,
中國國民黨,4,吳斯懷,N,N,,67,,https://zh.wikipedia.org/wiki/吳斯懷,,,,反年改團體「八百壯士」副指揮官、陸軍前中將副司令,,,,,,
中國國民黨,5,鄭麗文,N,Y,1969-11-12,50,,https://zh.wikipedia.org/wiki/鄭麗文,,"英國劍橋大學國際關係博士侯選人
美國天普大學法學碩士
國立臺灣大學法律學系法律學學士
臺北市立中山女子高級中學
",,行政院前發言人、前立委,,,,,,
中國國民黨,6,林文瑞,N,N,,60,,https://zh.wikipedia.org/wiki/林文瑞,,,,中常委、雲林農田水利會長,,,,,,
中國國民黨,7,廖婉汝,N,Y,1960-01-27,59,,https://zh.wikipedia.org/wiki/廖婉汝,,,,屏東縣黨部主委,,,,,,
中國國民黨,8,翁重鈞,N,Y,,64,,https://zh.wikipedia.org/wiki/翁重鈞,,,,前立委,,,,,,
中國國民黨,9,吳怡玎,N,N,,,,https://zh.wikipedia.org/wiki/吳怡玎,,,,普大應用材料執行董事、前高盛集團執董、副總裁,,,,,,
中國國民黨,10,陳以信,N,N,,47,,https://zh.wikipedia.org/wiki/陳以信,,,,總統府前發言人,,,,,,
中國國民黨,11,張育美,N,N,,62,,https://zh.wikipedia.org/wiki/張育美,,,,中常委、天成醫療體系董事長,,,,,,
中國國民黨,12,李德維,N,N,,,,https://zh.wikipedia.org/wiki/李德維,,,,中常委,,,,,,
中國國民黨,13,溫玉霞,N,N,,,,https://zh.wikipedia.org/wiki/溫玉霞,,,,世界台商會名譽總會長、台商,,,,,,
中國國民黨,14,吳敦義,N,Y,1948-01-30,71,,https://zh.wikipedia.org/wiki/吳敦義,,,,國民黨主席、前副總統,,,,,,
中國國民黨,15,謝龍介,N,N,1961-10-03,58,,https://zh.wikipedia.org/wiki/謝龍介,,"臺南市北區立人國民小學附設幼兒園
臺南市北區立人國民小學
臺南市立民德國民中學
臺灣省立臺南第二高級中學
臺南市私立長榮高級中學
遠東技術學院企業管理系
國立成功大學高階管理碩士（EMBA）",,"中國國民黨中央委員會文化傳播委員會發言人
中國國民黨中央常務委員
中國國民黨臺南市黨部主任委員
保台護土反貪聯盟副理事長
臺南市婦幼關懷聯盟理事
水上救生協會救生員
臺南市婦幼安全關懷聯盟理事
臺南市海軍陸戰隊理事長
中國國民黨臺南市委員會主任委員（再任，2017年10月25日－現任）
臺南市北區安民里（第16屆）里長（1998年8月1日－2002年2月28日）
臺南市議會（省轄市第15屆）議員（2002年3月1日－2006年2月28日）
臺南市議會（省轄市第16屆）議員（2006年3月1日－2010年12月24日）
臺南市議會（直轄市第1屆）議員（2010年12月25日－2014年5月22日）
臺南市議會（直轄市第2屆）議員（2014年12月25日－2018年12月24日）
臺南市議會（直轄市第3屆）議員（2018年12月25日－2022年12月24日）",,,,,,
中國國民黨,16,車宜靜,N,N,,,,https://zh.wikipedia.org/wiki/車宜靜,,,,世界至孝篤親舜裔總會理事長,,,,,,
中國國民黨,17,牛春茹,N,N,,,,https://zh.wikipedia.org/wiki/牛春茹,,,,黃國園黨部副主委、桃園新住民文化交流協會理事長,,,,,,
中國國民黨,18,曾文培,N,N,,,,https://zh.wikipedia.org/wiki/曾文培,,,,中常委,,,,,,
中國國民黨,19,李玉蟬,N,N,,,,https://zh.wikipedia.org/wiki/李玉蟬,,,,台北護理健康大學人類發展與健康學院院長,,,,,,
中國國民黨,20,王裕文,N,N,,,,https://zh.wikipedia.org/wiki/王裕文,,,,台北企業總工會理事長、台灣勞工總工會理事長,,,,,,
中國國民黨,21,王桂芸,N,N,,,,https://zh.wikipedia.org/wiki/王桂芸,,,,台北榮總護理部主任,,,,,,
中國國民黨,22,耿繼文,N,N,,,,https://zh.wikipedia.org/wiki/耿繼文,,,,警政署督察室前主任,,,,,,
中國國民黨,23,侯佳齡,N,N,,,,https://zh.wikipedia.org/wiki/侯佳齡,,,,中常委,,,,,,
中國國民黨,24,謝瀛華,N,N,,,,https://zh.wikipedia.org/wiki/謝瀛華,,,, 台心醫院執行院長、台北醫學院副教授,,,,,,
中國國民黨,25,邱素蘭,N,N,,,,https://zh.wikipedia.org/wiki/邱素蘭,,,,會計師,,,,,,
中國國民黨,26,張智倫,N,N,,,,https://zh.wikipedia.org/wiki/張智倫,,,,會計師、台北商業大學助理教授,,,,,,
中國國民黨,27,李惠蘭,N,N,,,,https://zh.wikipedia.org/wiki/李惠蘭,,,,台北市學校教育產業工會理事長,,,,,,
中國國民黨,28,連元章,N,N,,,,https://zh.wikipedia.org/wiki/連元章,,,,世界華商經貿聯誼總會創會會長、台商,,,,,,
中國國民黨,29,許謹如,N,N,,,,https://zh.wikipedia.org/wiki/許謹如,,,,金台灣廣播電台常務董、懷寧國際醫控公司國際醫療部長,,,,,,
中國國民黨,30,林有志,N,N,,,,https://zh.wikipedia.org/wiki/林有志,,,,組發會副主任委員 ,,,,,,
中國國民黨,31,黃璉華,N,N,,,,https://zh.wikipedia.org/wiki/黃璉華,,,,中國醫藥大學護理系教授,,,,,,
綠黨,1,鄧惠文,N,N,1971-08-12,48,,https://zh.wikipedia.org/wiki/鄧惠文,,"臺北市立第一女子高級中學
台北醫學院醫學系與台北醫學大學醫學人文研究所碩士
英國塔維史托克心理治療中心（Tavistock and Portman Clinic）
英國塔維史托克伴侶關係研究中心（Tavistock Center for Couple Relationships）進修
美國國際心理治療機構（International Psychotherapy Institute）培訓
國際分析心理學學會（International Association for Analytical Psychology）個人會員",,"News98《發現心關係》製作主持
News98《鄧惠文時間》主持
台大醫院精神科總醫師
萬芳醫院精神科主治醫師
國立台灣大學學生輔導中心特約醫師
《非關命運》
《新聞挖挖哇》
",,,,,,
綠黨,2,高成炎,N,N,1948-10-03,71,,https://zh.wikipedia.org/wiki/高成炎,,"台北市立建國高級中學畢業(1967年)
國立台灣大學數學系學士(1971年)
美國威斯康辛大學計算機科學碩士(1976年)
美國威斯康辛大學統計學碩士(1978年)
美國威斯康辛大學計算機科學博士(1981年)",,"蘭陽地熱公司董事長、
台大資訊系教授
綠能專業／綠黨創黨召集人",,,,,,
綠黨,3,王浩宇,N,N,1988-10-29,31,,https://zh.wikipedia.org/wiki/王浩宇,,"桃園縣中壢市信義國小
桃園縣立中壢國中
國立陽明高級中學【退學】
美國科羅拉多州Sargent High School(透過Ayusa愛優生總會高中交換學生，非校際生)
美國華盛頓州綠河社區學院[3]
美國加州聖荷西州立大學廣告管理系畢業",,"桃園市議員（綠黨前任召集人）
台灣學生自治協會會長
集客力數位行銷有限公司董事、新竹分公司經理
桃園市第1-2屆議員（2014年12月25日－）集客力數位行銷有限公司公司類型",,,,,,
綠黨,4,李菁琪,N,N,,,,https://zh.wikipedia.org/wiki/李菁琪,,,,環境與人權律師（環境／人權律師）,,,,,,
綠黨,5,張佑輔,N,N,,,,https://zh.wikipedia.org/wiki/張佑輔,,,,愛樂活社會企業、台灣農業讚、Fitglasses 創辦人（科技公益／有機農業）,,,,,,
綠黨,6,張竹芩,N,N,,,,https://zh.wikipedia.org/wiki/張竹芩,,,,,,,,,,
親民黨,1,滕西華,N,N,,,,https://zh.wikipedia.org/wiki/滕西華,,,,身心障礙聯盟秘書長,,,,,,
親民黨,2,李鴻鈞,Y,Y,1959/5/11,60,,https://zh.wikipedia.org/wiki/李鴻鈞_(立委),,,,立委、親民黨秘書長,,,,,,
