"'64","'000","'01","'370","'0007","0","200","4","204","225","0","12","5","9","3","4","1","0","90.67","41.67"
"'64","'000","'01","'370","'0008","0","212","7","219","253","0","12","5","9","3","4","1","0","86.56","41.67"
"'64","'000","'01","'380","'0001","0","1133","10","1143","1272","0","7","4","5","2","2","2","0","89.86","57.14"
"'64","'000","'02","'360","'0001","0","621","14","635","696","0","6","3","3","3","1","2","0","91.24","50"
"'64","'000","'02","'370","'0002","0","362","3","365","462","0","6","2","6","0","2","0","0","79","33.33"
"'64","'000","'02","'370","'0003","0","479","8","487","585","0","6","2","6","0","2","0","0","83.25","33.33"
"'64","'000","'02","'380","'0002","0","519","6","525","584","0","5","3","5","0","3","0","0","89.9","60"
"'64","'000","'02","'380","'0003","0","418","4","422","482","0","5","3","5","0","3","0","0","87.55","60"
"'65","'000","'01","'290","'0002","0","1229","27","1256","1517","0","5","2","4","1","2","0","0","82.79","40"
"'65","'000","'02","'290","'0001","0","1711","51","1762","2279","0","5","3","5","0","3","0","0","77.31","60"
"'65","'000","'02","'290","'0005","0","176","1","177","226","0","5","3","5","0","3","0","0","78.32","60"
"'65","'000","'03","'290","'0004","0","303","67","370","468","0","1","1","1","0","1","0","0","79.06","100"
"'65","'000","'04","'290","'0003","0","484","9","493","580","0","2","1","2","0","1","0","0","85","50"
"'66","'000","'01","'290","'0001","0","1407","43","1450","1842","0","7","5","6","1","4","1","0","78.72","71.43"
"'66","'000","'01","'290","'0002","0","329","11","340","440","0","7","5","6","1","4","1","0","77.27","71.43"
"'66","'000","'01","'290","'0003","0","1204","21","1225","1598","0","7","5","6","1","4","1","0","76.66","71.43"
"'66","'000","'02","'290","'0004","0","380","8","388","434","0","6","3","5","1","2","1","0","89.4","50"
"'66","'000","'02","'290","'0005","0","844","17","861","1017","0","6","3","5","1","2","1","0","84.66","50"
"'66","'000","'02","'290","'0006","0","892","23","915","1080","0","6","3","5","1","2","1","0","84.72","50"
"'66","'000","'03","'290","'0007","0","1314","29","1343","1940","0","5","3","5","0","3","0","0","69.23","60"
"'66","'000","'03","'290","'0008","0","683","11","694","852","0","5","3","5","0","3","0","0","81.46","60"
"'68","'000","'01","'130","'0001","0","1423","40","1463","1925","0","9","5","5","4","3","2","0","76","55.56"
"'68","'000","'01","'130","'0002","0","959","21","980","1338","0","9","5","5","4","3","2","0","73.24","55.56"
"'68","'000","'01","'130","'0003","0","549","18","567","689","0","9","5","5","4","3","2","0","82.29","55.56"
"'68","'000","'01","'130","'0004","0","435","8","443","536","0","9","5","5","4","3","2","0","82.65","55.56"
"'68","'000","'02","'130","'0005","0","494","14","508","641","0","7","3","6","1","3","0","0","79.25","42.86"
"'68","'000","'02","'130","'0007","0","577","11","588","734","0","7","3","6","1","3","0","0","80.11","42.86"
"'68","'000","'02","'130","'0009","0","737","12","749","976","0","7","3","6","1","3","0","0","76.74","42.86"
"'68","'000","'03","'130","'0006","0","473","11","484","646","0","9","3","9","0","3","0","0","74.92","33.33"
"'68","'000","'03","'130","'0008","0","819","15","834","1171","0","9","3","9","0","3","0","0","71.22","33.33"
"'68","'000","'03","'130","'0010","0","548","15","563","709","0","9","3","9","0","3","0","0","79.41","33.33"
"'64","'000","'01","'360","'0000","0","771","9","780","848","1084","6","4","4","2","2","2","78.23","91.98","66.67"
"'64","'000","'01","'370","'0000","0","2000","46","2046","2328","3022","12","5","9","3","4","1","77.04","87.89","41.67"
"'64","'000","'01","'380","'0000","0","1133","10","1143","1272","1713","7","4","5","2","2","2","74.26","89.86","57.14"
"'64","'000","'02","'360","'0000","0","621","14","635","696","915","6","3","3","3","1","2","76.07","91.24","50"
"'64","'000","'02","'370","'0000","0","841","11","852","1047","1288","6","2","6","0","2","0","81.29","81.38","33.33"
"'64","'000","'02","'380","'0000","0","937","10","947","1066","1430","5","3","5","0","3","0","74.55","88.84","60"
"'65","'000","'01","'290","'0000","0","1229","27","1256","1517","1875","5","2","4","1","2","0","80.91","82.79","40"
"'65","'000","'02","'290","'0000","0","1887","52","1939","2505","3110","5","3","5","0","3","0","80.55","77.41","60"
"'65","'000","'03","'290","'0000","0","303","67","370","468","582","1","1","1","0","1","0","80.41","79.06","100"
"'65","'000","'04","'290","'0000","0","484","9","493","580","816","2","1","2","0","1","0","71.08","85","50"
"'66","'000","'01","'290","'0000","0","2940","75","3015","3880","4604","7","5","6","1","4","1","84.27","77.71","71.43"
"'66","'000","'02","'290","'0000","0","2116","48","2164","2531","3110","6","3","5","1","2","1","81.38","85.5","50"
"'66","'000","'03","'290","'0000","0","1997","40","2037","2792","3352","5","3","5","0","3","0","83.29","72.96","60"
"'68","'000","'01","'130","'0000","0","3366","87","3453","4488","5670","9","5","5","4","3","2","79.15","76.94","55.56"
"'68","'000","'02","'130","'0000","0","1808","37","1845","2351","3009","7","3","6","1","3","0","78.13","78.48","42.86"
"'68","'000","'03","'130","'0000","0","1840","41","1881","2526","3318","9","3","9","0","3","0","76.13","74.47","33.33"
"'64","'000","'00","'360","'0000","0","1392","23","1415","1544","1999","12","7","7","5","3","4","77.24","91.65","58.33"
"'64","'000","'00","'370","'0000","0","2841","57","2898","3375","4310","18","7","15","3","6","1","78.31","85.87","38.89"
"'64","'000","'00","'380","'0000","0","2070","20","2090","2338","3143","12","7","10","2","5","2","74.39","89.39","58.33"
"'65","'000","'00","'290","'0000","0","3903","155","4058","5070","6383","13","7","12","1","7","0","79.43","80.04","53.85"
"'66","'000","'00","'290","'0000","0","7053","163","7216","9203","11066","18","11","16","2","9","2","83.16","78.41","61.11"
"'68","'000","'00","'130","'0000","0","7014","165","7179","9365","11997","25","11","20","5","9","2","78.06","76.66","44"
"'64","'000","'00","'000","'0000","0","6303","100","6403","7257","9452","42","21","32","10","14","7","76.78","88.23","50"
"'65","'000","'00","'000","'0000","0","3903","155","4058","5070","6383","13","7","12","1","7","0","79.43","80.04","53.85"
"'66","'000","'00","'000","'0000","0","7053","163","7216","9203","11066","18","11","16","2","9","2","83.16","78.41","61.11"
"'68","'000","'00","'000","'0000","0","7014","165","7179","9365","11997","25","11","20","5","9","2","78.06","76.66","44"
"'00","'000","'00","'000","'0000","0","24273","583","24856","30895","38898","98","50","80","18","39","11","79.43","80.45","51.02"
