"'63","'000","'07","'010","'0030","629","1","1","100","*"
"'63","'000","'07","'010","'0030","630","1","0","0","*"
"'63","'000","'07","'010","'0030","631","1","0","0","*"
"'63","'000","'07","'010","'0030","632","1","0","0","*"
"'63","'000","'07","'010","'0031","633","1","10","100","*"
"'63","'000","'07","'010","'0031","634","1","0","0","*"
"'63","'000","'07","'010","'0032","635","1","0","0","*"
"'63","'000","'07","'010","'0032","636","1","2","100","*"
"'63","'000","'07","'010","'0032","637","1","0","0","*"
"'63","'000","'07","'010","'0033","638","1","0","0","*"
"'63","'000","'07","'010","'0033","639","1","0","0","*"
"'63","'000","'07","'010","'0033","640","1","20","100","*"
"'63","'000","'07","'010","'0033","641","1","0","0","*"
"'63","'000","'07","'010","'0034","642","1","2","100","*"
"'63","'000","'07","'010","'0034","643","1","0","0","*"
"'63","'000","'07","'010","'0035","586","1","2","100","*"
"'63","'000","'07","'010","'0035","587","1","0","0","*"
"'63","'000","'07","'020","'0001","644","1","0","0","*"
"'63","'000","'07","'020","'0001","645","1","3","100","*"
"'63","'000","'07","'020","'0001","646","1","0","0","*"
"'63","'000","'07","'020","'0002","647","1","2","100","*"
"'63","'000","'07","'020","'0002","648","1","0","0","*"
"'63","'000","'07","'020","'0002","649","1","0","0","*"
"'63","'000","'07","'020","'0003","650","1","0","0","*"
"'63","'000","'07","'020","'0003","651","1","12","100","*"
"'63","'000","'07","'020","'0004","652","1","0","0","*"
"'63","'000","'07","'020","'0004","653","1","2","100","*"
"'63","'000","'07","'020","'0005","654","1","0","0","*"
"'63","'000","'07","'020","'0005","655","1","6","100","*"
"'63","'000","'07","'020","'0006","656","1","0","0","*"
"'63","'000","'07","'020","'0006","657","1","3","100","*"
"'63","'000","'07","'020","'0006","658","1","0","0","*"
"'63","'000","'07","'020","'0006","659","1","0","0","*"
"'63","'000","'07","'020","'0007","660","1","0","0","*"
"'63","'000","'07","'020","'0007","661","1","1","100","*"
"'63","'000","'07","'020","'0007","662","1","0","0","*"
"'63","'000","'07","'020","'0007","663","1","0","0","*"
"'63","'000","'07","'020","'0008","664","1","0","0","*"
"'63","'000","'07","'020","'0008","665","1","5","100","*"
"'63","'000","'07","'020","'0008","666","1","0","0","*"
"'63","'000","'07","'020","'0008","667","1","0","0","*"
"'63","'000","'07","'020","'0008","668","1","0","0","*"
"'63","'000","'07","'020","'0009","669","1","14","100","*"
"'63","'000","'07","'020","'0009","670","1","0","0","*"
"'63","'000","'07","'020","'0009","671","1","0","0","*"
"'63","'000","'07","'020","'0009","672","1","0","0","*"
"'63","'000","'07","'020","'0009","673","1","0","0","*"
"'63","'000","'07","'020","'0009","674","1","0","0","*"
"'63","'000","'07","'020","'0009","675","1","0","0","*"
"'63","'000","'07","'020","'0010","676","1","0","0","*"
"'63","'000","'07","'020","'0010","677","1","3","100","*"
"'63","'000","'07","'020","'0011","678","1","0","0","*"
"'63","'000","'07","'020","'0011","679","1","0","0","*"
"'63","'000","'07","'020","'0011","680","1","13","100","*"
"'63","'000","'07","'020","'0012","681","1","2","100","*"
"'63","'000","'07","'020","'0012","682","1","0","0","*"
