"'10","'005","'00","'040","'0000","4","連森裕","'999","'1","'0570415","50","臺灣省","碩士","N"," "," "
"'10","'005","'00","'040","'0000","5","康世儒","'999","'1","'0530116","54","臺灣省","專科","N"," "," "
"'10","'005","'00","'050","'0000","1","陳永賢","'1","'1","'0450726","62","臺灣省","高中","N"," "," "
"'10","'005","'00","'050","'0000","2","黃育烈","'999","'1","'0530616","54","臺灣省","碩士","N"," "," "
"'10","'005","'00","'050","'0000","3","羅雪珠","'999","'2","'0470208","60","臺灣省","專科","N","*"," "
"'10","'005","'00","'060","'0000","1","湯美雲","'999","'2","'0610525","46","臺灣省","專科","N"," "," "
"'10","'005","'00","'060","'0000","2","朱秋隆","'1","'1","'0490830","58","臺灣省","專科","Y","*"," "
"'10","'005","'00","'070","'0000","1","詹錦章","'999","'1","'0430423","64","臺灣省","高中","N","*"," "
"'10","'005","'00","'070","'0000","2","詹坤金","'999","'1","'0530516","54","臺灣省","專科","Y"," "," "
"'10","'005","'00","'080","'0000","1","陳永福","'999","'1","'0410219","66","臺灣省","高中","N"," "," "
"'10","'005","'00","'080","'0000","2","胡娘妹","'1","'2","'0450528","62","臺灣省","大學","Y","*"," "
"'10","'005","'00","'090","'0000","1","曾美露","'1","'2","'0440113","63","臺灣省","高中","Y","*"," "
"'10","'005","'00","'100","'0000","1","謝昌年","'999","'1","'0550102","52","臺灣省","大學","N"," "," "
"'10","'005","'00","'100","'0000","2","李瑞廷","'1","'1","'0450215","62","臺灣省","大學","N","*"," "
"'10","'005","'00","'110","'0000","1","劉月梅","'1","'2","'0461005","61","臺灣省","高中","N"," "," "
"'10","'005","'00","'110","'0000","2","邱梓增","'999","'1","'0470912","60","臺灣省","高中","N","*"," "
"'10","'005","'00","'120","'0000","1","徐月蘭","'999","'2","'0500616","57","臺灣省","高中","N"," "," "
"'10","'005","'00","'120","'0000","2","彭正榮","'999","'1","'0340430","73","臺灣省","高中(職)以下","N"," "," "
"'10","'005","'00","'120","'0000","3","徐鑫榮","'999","'1","'0480917","59","臺灣省","高中","N","*"," "
"'10","'005","'00","'130","'0000","1","鄭淑如","'999","'2","'0531205","53","臺灣省","大學","N"," "," "
"'10","'005","'00","'130","'0000","2","呂明忠","'1","'1","'0481017","59","臺灣省","高中","N","*"," "
"'10","'005","'00","'130","'0000","3","劉騏勝","'999","'1","'0480205","59","臺灣省","高中","N"," "," "
"'10","'005","'00","'140","'0000","1","高阿賜","'999","'1","'0460317","61","臺灣省","高中","N","*"," "
"'10","'005","'00","'150","'0000","1","黃天貴","'1","'1","'0411215","65","臺灣省","高中","N","*"," "
"'10","'005","'00","'160","'0000","1","温志強","'999","'1","'0590602","48","臺灣省","專科","Y","*"," "
"'10","'005","'00","'170","'0000","1","謝春梅","'1","'2","'0410202","66","臺灣省","高中","Y","*"," "
"'10","'005","'00","'170","'0000","2","李春貴","'999","'1","'0480708","59","臺灣省","專科","N"," "," "
"'10","'005","'00","'180","'0000","1","劉美蘭 Iwan．Sigiy","'1","'2","'0511023","56","臺灣省","專科","Y","*"," "
"'10","'005","'00","'180","'0000","2","盧光明","'16","'1","'0620209","45","臺灣省","碩士","N"," "," "
"'10","'005","'00","'180","'0000","3","陳吉基","'999","'1","'0591104","48","臺灣省","專科","N"," "," "
"'10","'007","'00","'010","'0000","1","張東正","'1","'1","'0580513","49","臺灣省","碩士","N"," "," "
"'10","'007","'00","'010","'0000","2","林世賢","'16","'1","'0480601","59","臺灣省","專科","N","*"," "
"'10","'007","'00","'010","'0000","3","黄玉芬","'999","'2","'0711110","36","臺灣省","碩士","N"," "," "
"'10","'007","'00","'020","'0000","1","黃敦義","'999","'1","'0511220","55","臺灣省","大學","N"," "," "
"'10","'007","'00","'020","'0000","2","施性鍾","'999","'1","'0410717","66","臺灣省","高中(職)以下","N"," "," "
"'10","'007","'00","'020","'0000","3","潘順良","'16","'1","'0540425","53","臺灣省","高中(職)以下","N"," "," "
"'10","'007","'00","'020","'0000","4","許志宏","'1","'1","'0620118","45","臺灣省","碩士","N","*"," "
"'10","'007","'00","'030","'0000","1","陳文彬","'16","'1","'0580310","49","臺灣省","碩士","N"," "," "
"'10","'007","'00","'030","'0000","2","阮厚爵","'1","'1","'0591106","48","臺灣省","碩士","Y","*"," "
"'10","'007","'00","'040","'0000","1","黃浚豪","'999","'1","'0491222","57","臺灣省","其他","Y"," "," "
"'10","'007","'00","'040","'0000","2","蘇韋峻","'999","'1","'0670426","40","臺灣省","高中","N","*"," "
"'10","'007","'00","'050","'0000","1","曾煥彰","'1","'1","'0450520","62","臺灣省","大學","Y","*"," "
"'10","'007","'00","'060","'0000","1","粘勝傑","'999","'1","'0530126","54","臺灣省","碩士","N"," "," "
"'10","'007","'00","'060","'0000","2","許誠龍","'1","'1","'0531118","54","臺灣省","高中","N"," "," "
"'10","'007","'00","'060","'0000","3","蔣煙燈","'16","'1","'0480213","59","臺灣省","專科","N","*"," "
"'10","'007","'00","'070","'0000","1","丁金山","'999","'1","'0500410","57","臺灣省","專科","N"," "," "
"'10","'007","'00","'070","'0000","2","梁禎祥","'16","'1","'0360106","71","臺灣省","高中","Y"," "," "
"'10","'007","'00","'070","'0000","3","陳文欣","'1","'1","'0460101","61","臺灣省","高中","N"," "," "
"'10","'007","'00","'070","'0000","4","林英嘉","'999","'1","'0580506","49","臺灣省","大學","N","*"," "
"'10","'007","'00","'080","'0000","1","顧勝敏","'1","'1","'0680513","39","臺灣省","碩士","N","*"," "
"'10","'007","'00","'080","'0000","2","陳振欽","'16","'1","'0570102","50","臺灣省","專科","N"," "," "
"'10","'007","'00","'080","'0000","3","李岳珉","'999","'1","'0511128","55","臺灣省","專科","N"," "," "
"'10","'007","'00","'080","'0000","4","賴世祥","'999","'1","'0570716","50","臺灣省","大學","N"," "," "
"'10","'007","'00","'090","'0000","1","曾世勇","'1","'1","'0490318","58","臺灣省","碩士","N"," "," "
"'10","'007","'00","'090","'0000","2","林世明","'16","'1","'0651031","42","臺灣省","碩士","N","*"," "
"'10","'007","'00","'100","'0000","1","游振雄","'1","'1","'0510208","56","臺灣省","大學","N","*"," "
"'10","'007","'00","'100","'0000","2","李金龍","'999","'1","'0540204","53","臺灣省","專科","N"," "," "
"'10","'007","'00","'100","'0000","3","張文和","'999","'1","'0370704","70","臺灣省","大學","N"," "," "
"'10","'007","'00","'100","'0000","4","林錦泉","'999","'1","'0390320","68","臺灣省","高中(職)以下","N"," "," "
"'10","'007","'00","'100","'0000","5","陳秋蓉","'16","'2","'0550717","52","臺灣省","碩士","N"," "," "
"'10","'007","'00","'110","'0000","1","楊福建","'16","'1","'0440404","63","臺灣省","其他","Y"," "," "
"'10","'007","'00","'110","'0000","2","黃瑞珠","'1","'2","'0530305","54","臺灣省","高中","N","*"," "
"'10","'007","'00","'120","'0000","1","謝秉儒","'1","'1","'0420107","65","臺灣省","大學","N"," "," "
"'10","'007","'00","'120","'0000","2","謝文賢","'999","'1","'0410110","66","臺灣省","其他","Y"," "," "
"'10","'007","'00","'120","'0000","3","洪麗娜","'999","'2","'0441016","63","臺灣省","專科","N","*"," "
"'10","'007","'00","'120","'0000","4","陳信國","'999","'1","'0441225","62","臺灣省","其他","N"," "," "
"'10","'007","'00","'130","'0000","1","賴錫卿","'16","'1","'0401029","67","臺灣省","大學","N"," "," "
"'10","'007","'00","'130","'0000","2","游盛","'1","'1","'0540208","53","臺灣省","大學","Y","*"," "
"'10","'007","'00","'140","'0000","1","黄素錦","'999","'2","'0530716","54","臺灣省","大學","N"," "," "
"'10","'007","'00","'140","'0000","2","許文萍","'999","'2","'0650709","42","臺灣省","高中","N","*"," "
"'10","'007","'00","'140","'0000","3","施燈源","'999","'1","'0540120","53","臺灣省","高中","N"," "," "
