id,name
403,吳思瑤
404,許鍾碧霞
405,許國泰
406,林明溱
407,高建智
408,陳清寶
409,林昶佐
410,陳漢強
411,施明德
412,林哲夫
413,張清芳
414,李俊毅
415,許素葉
416,王政中
417,洪奇昌
418,鄭逢時
419,王麗萍
420,李雅景
421,何嘉榮
422,廖光生
423,郭金生
424,林重謨
425,李復甸
426,蔣孝嚴
427,謝言信
428,陳婉真
429,蘇煥智
430,林惠官
431,李俊俋
432,邱泰源
433,林世嘉
434,柯淑敏
435,黃劍輝
436,王昱婷
437,杜文卿
438,鄭麗君
439,洪秀柱
440,徐志榮
441,許德祥
442,王世勛
443,李慶安
444,尤清
445,劉憶如
446,呂玉玲
447,張昌財
448,林濁水
449,蔡勝佳
450,許忠信
451,營志宏
452,曾巨威
453,曾永權
454,谷辣斯．尤達卡Kolas Yotaka
455,劉炳華
456,顧崇廉
457,陳福海
458,陳進丁
459,楊芳婉
460,陳振雄
461,曹爾忠
462,周陳秀霞
463,游月霞
464,翁大銘
465,靳曾珍麗
466,許登宮
467,陳學聖
468,蕭金蘭
469,馮滬祥
470,錢林慧君
471,江永昌
472,顏清標
473,吳惠祖
474,姚文智
475,黃偉哲
476,呂孫綾
477,全文盛
478,余政憲
479,洪讀
480,嚴啟昌
481,林聰明
482,陳亭妃
483,林志隆
484,簡東明Uliw．Qaljupayare
485,高巍和
486,陳劍松
487,曹原彰
488,蘇盈貴
489,張慶忠
490,鄭金玲
491,林源山
492,李全教
493,陳瑩
494,李文郎
495,陳一新
496,彭紹瑾
497,謝欽宗
498,賴來焜
499,郭正亮
500,張蔡美
501,彭添富
502,盧博基
503,盧天麟
504,鄭寶清
505,李和順
506,楊文欣
507,陳重信
508,鍾新財
509,王拓
510,林進春
511,劉俊雄
512,鍾孔炤
513,周五六
514,張文儀
515,洪玉欽
516,傅崐萁
517,吳焜裕
518,葉菊蘭
519,江惠貞
520,鄭天財Sra．Kacaw
521,陳茂男
522,陳宗仁
523,黃煌雄
524,蘇火燈
525,李彥秀
526,林南生
527,陳道明
528,瓦歷斯．貝林
529,高天來
530,蔡友土
531,周荃
532,尹伶瑛
533,劉世芳
534,陳健治
535,周陽山
536,賴勁麟
537,蕭美琴
538,朱勝號
539,白添枝
540,穆閩珠
541,葛雨琴
542,梅長錡
543,吳克清
544,朱高正
